Best results for each combination of array length and number of segments considering segments with the same size on K40.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;FC;MT;MT;MT;MT;FT;MT;MT;FT;MT;MT
1;M;FT;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
2;R;FT;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
3;R;R;R;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
4;R;R;R;R;FC;FC;FC;FT;FT;FT;FT;FT;FT
5;R;R;R;R;R;R;FC;FT;FT;FT;FT;FT;FT
6;R;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT
7;H;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT
8;H;R;R;R;R;R;R;R;FT;FT;FT;FT;FT
9;H;H;R;R;R;R;R;R;R;FT;FT;FT;FT
10;H;H;FC;FC;FC;R;R;FT;R;FT;FT;FT;FT
11;H;H;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
12;H;H;FC;FC;H;H;FC;FT;FT;FT;FT;FT;FT
13;H;H;FC;FC;H;H;H;FT;FT;FT;FT;FT;FT
14;H;H;FC;H;FC;H;H;H;FT;FT;FT;FT;FT
15;--;H;FC;FC;H;H;H;H;H;FT;FT;FT;FT
16;--;--;FC;FC;H;H;H;H;H;FT;FT;FT;FT
17;--;--;--;FC;FC;FC;FC;H;H;H;FT;FT;FT
18;--;--;--;--;FC;FC;FC;H;H;FT;FT;FT;FT
19;--;--;--;--;--;FC;FC;FT;H;H;FT;FT;FT
20;--;--;--;--;--;--;FC;FT;FT;H;H;FT;FT
