Best results for each combination of array length and number of segments considering segments with different sizes on GTX770.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;--
1;FC;FT;MT;FC;MT;MT;MT;MT;MT;MT;MT;MT;--
2;FC;FT;FC;FC;FT;FT;FT;FT;MT;MT;MT;MT;--
3;FC;FT;FC;FC;FT;FT;FT;FT;FT;FT;MT;MT;--
4;FC;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;MT;--
5;R;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT;--
6;R;R;R;FC;FT;FT;FT;FT;FT;FT;FT;FT;--
7;H;R;R;R;FT;FT;FT;FT;FT;FT;FT;FT;--
8;H;FT;R;R;R;FT;FT;FT;FT;FT;FT;FT;--
9;H;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT;--
10;H;FT;FC;H;H;FT;FT;FT;FT;FT;FT;FT;--
11;H;FT;H;H;H;H;FT;FT;FT;FT;FT;FT;--
12;H;FT;H;H;H;H;H;FT;FT;FT;FT;FT;--
13;H;FT;H;H;H;H;H;H;FT;FT;FT;FT;--
14;H;FT;H;H;H;H;H;H;H;FT;FT;FT;--
15;--;FT;H;H;H;H;H;H;H;H;FT;FT;--
16;--;--;H;H;H;H;H;H;H;H;H;H;--
17;--;--;--;H;H;H;H;H;H;H;H;H;--
18;--;--;--;--;H;FT;H;H;H;H;H;H;--
19;--;--;--;--;--;M;M;H;H;H;H;H;--
20;--;--;--;--;--;--;M;M;H;H;H;H;--
