Best results for each combination of array length and number of segments considering segments with the same size on GTX770.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;--
1;FC;MT;MT;FC;MT;MT;MT;MT;MT;MT;MT;MT;--
2;FC;FT;FC;FC;FT;FT;FT;MT;MT;MT;MT;MT;--
3;R;FT;FC;FC;FT;FT;FT;FT;FT;MT;MT;MT;--
4;R;R;R;R;FT;FT;FT;FT;FT;FT;MT;MT;--
5;R;R;R;R;R;R;FT;FT;FT;FT;FT;MT;--
6;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT;--
7;H;R;R;R;R;R;FT;FT;FT;FT;FT;FT;--
8;H;FT;R;R;H;R;FT;FT;FT;FT;FT;FT;--
9;H;FT;H;H;H;H;FT;FT;FT;FT;FT;FT;--
10;H;FT;H;H;H;H;H;FT;FT;FT;FT;FT;--
11;H;FT;H;H;H;H;H;H;FT;FT;FT;FT;--
12;H;FT;H;H;H;H;H;H;H;FT;FT;FT;--
13;H;FT;H;H;H;H;H;H;H;H;FT;FT;--
14;H;FT;H;H;H;H;H;H;H;H;H;FT;--
15;--;FT;H;H;H;H;H;H;H;H;H;H;--
16;--;--;H;H;H;H;H;H;H;H;H;H;--
17;--;--;--;H;H;H;H;H;H;H;H;H;--
18;--;--;--;--;H;H;H;H;H;H;H;H;--
19;--;--;--;--;--;H;H;H;H;H;H;H;--
20;--;--;--;--;--;--;H;H;H;H;H;H;--
